datetime,month,year,position,mean,sd
2017-04-09T00:00:00Z,4,2017,0m,16.010833333333334,0.24888984279426477
2017-04-09T00:00:00Z,4,2017,1m,16.12736111111111,0.2783040197843494
2017-04-09T00:00:00Z,4,2017,surface,16.39763888888889,0.27011001672359575
2017-04-10T00:00:00Z,4,2017,0m,15.889027777777779,0.09248185945305357
2017-04-10T00:00:00Z,4,2017,1m,15.948055555555555,0.09738739438091851
2017-04-10T00:00:00Z,4,2017,surface,15.890694444444444,0.14122170625852917
2017-04-11T00:00:00Z,4,2017,0m,15.703472222222222,0.052374651484321216
2017-04-11T00:00:00Z,4,2017,1m,15.748888888888889,0.05685352436149619
2017-04-11T00:00:00Z,4,2017,surface,15.562916666666666,0.11436584041813111
2017-04-12T00:00:00Z,4,2017,0m,15.67,0.22069185554726553
2017-04-12T00:00:00Z,4,2017,1m,15.672222222222222,0.26608911816047426
2017-04-12T00:00:00Z,4,2017,surface,15.597777777777777,0.4496407959436569
2017-04-13T00:00:00Z,4,2017,0m,15.854583333333334,0.3039987003100668
2017-04-13T00:00:00Z,4,2017,1m,15.83763888888889,0.26650282699955885
2017-04-13T00:00:00Z,4,2017,surface,15.849166666666667,0.5006226891812605
2017-04-14T00:00:00Z,4,2017,0m,15.942638888888888,0.10780055471081565
2017-04-14T00:00:00Z,4,2017,1m,15.965972222222222,0.08176650573897258
2017-04-14T00:00:00Z,4,2017,surface,16.134444444444444,0.4909043713261289
2017-04-15T00:00:00Z,4,2017,0m,15.915555555555555,0.13871426473743542
2017-04-15T00:00:00Z,4,2017,1m,15.94875,0.10848527984964587
2017-04-15T00:00:00Z,4,2017,surface,16.398888888888887,0.48256179880497124
2017-04-16T00:00:00Z,4,2017,0m,16.08513888888889,0.21515642743661723
2017-04-16T00:00:00Z,4,2017,1m,16.153194444444445,0.18373229529006677
2017-04-16T00:00:00Z,4,2017,surface,16.847916666666666,0.4796689928037278
2017-04-17T00:00:00Z,4,2017,0m,15.920972222222222,0.09023139983789172
2017-04-17T00:00:00Z,4,2017,1m,16.016805555555557,0.12404968989612804
2017-04-17T00:00:00Z,4,2017,surface,16.372777777777777,0.2529226213090724
2017-04-18T00:00:00Z,4,2017,0m,16.16861111111111,0.14618032312417048
2017-04-18T00:00:00Z,4,2017,1m,16.27722222222222,0.2368630788116167
2017-04-18T00:00:00Z,4,2017,surface,16.57875,0.5876406244436335
2017-04-19T00:00:00Z,4,2017,0m,16.398611111111112,0.15040556413189565
2017-04-19T00:00:00Z,4,2017,1m,16.450555555555557,0.18073578357763947
2017-04-19T00:00:00Z,4,2017,surface,16.5875,0.46714652318718375
2017-04-20T00:00:00Z,4,2017,0m,16.50777777777778,0.06456356378371442
2017-04-20T00:00:00Z,4,2017,1m,16.563055555555554,0.052052659965456216
2017-04-20T00:00:00Z,4,2017,surface,16.481527777777778,0.12700046497599185
2017-04-21T00:00:00Z,4,2017,0m,16.53013888888889,0.13496431080239396
2017-04-21T00:00:00Z,4,2017,1m,16.58763888888889,0.14570775478933776
2017-04-21T00:00:00Z,4,2017,surface,16.72347222222222,0.3444207043727507
2017-04-22T00:00:00Z,4,2017,0m,16.913333333333334,0.301149313615205
2017-04-22T00:00:00Z,4,2017,1m,16.973055555555554,0.29987707919456397
2017-04-22T00:00:00Z,4,2017,surface,17.091805555555556,0.43869108040267263
2017-04-23T00:00:00Z,4,2017,0m,17.007638888888888,0.23838614180139048
2017-04-23T00:00:00Z,4,2017,1m,17.13361111111111,0.27937645632945585
2017-04-23T00:00:00Z,4,2017,surface,17.475833333333334,0.5942986699387011
2017-04-24T00:00:00Z,4,2017,0m,17.03472222222222,0.12150538532739454
2017-04-24T00:00:00Z,4,2017,1m,17.067222222222224,0.09935768853969078
2017-04-24T00:00:00Z,4,2017,surface,17.41111111111111,0.4569939956317937
2017-04-25T00:00:00Z,4,2017,0m,16.922777777777778,0.1058462035380523
2017-04-25T00:00:00Z,4,2017,1m,16.953055555555554,0.07625204596844926
2017-04-25T00:00:00Z,4,2017,surface,17.32138888888889,0.46400899905535375
2017-04-26T00:00:00Z,4,2017,0m,16.703055555555554,0.09898278283414408
2017-04-26T00:00:00Z,4,2017,1m,16.768472222222222,0.11100506788937639
2017-04-26T00:00:00Z,4,2017,surface,16.94847222222222,0.15521840892031602
2017-04-27T00:00:00Z,4,2017,0m,16.87361111111111,0.23631971679698782
2017-04-27T00:00:00Z,4,2017,1m,16.91125,0.23825377256165362
2017-04-27T00:00:00Z,4,2017,surface,16.97138888888889,0.3572204488917864
2017-04-28T00:00:00Z,4,2017,0m,16.95513888888889,0.334766354407835
2017-04-28T00:00:00Z,4,2017,1m,17.015833333333333,0.3153053797788466
2017-04-28T00:00:00Z,4,2017,surface,17.32777777777778,0.5663086761700873
2017-04-29T00:00:00Z,4,2017,0m,17.22222222222222,0.1829075369009356
2017-04-29T00:00:00Z,4,2017,1m,17.270972222222223,0.19527036822190108
2017-04-29T00:00:00Z,4,2017,surface,17.83527777777778,0.7873048160330743
2017-04-30T00:00:00Z,4,2017,0m,17.239583333333332,0.224480363431712
2017-04-30T00:00:00Z,4,2017,1m,17.283333333333335,0.23062093137010337
2017-04-30T00:00:00Z,4,2017,surface,17.63513888888889,0.22442774503793597
2017-05-01T00:00:00Z,5,2017,0m,17.45861111111111,0.3090581476307306
2017-05-01T00:00:00Z,5,2017,1m,17.566388888888888,0.38527913976754
2017-05-01T00:00:00Z,5,2017,surface,17.928472222222222,0.4995526942454561
2017-05-02T00:00:00Z,5,2017,0m,17.655555555555555,0.3503240812832627
