datetime,survey,location,trial,species,size,individuals,distance,remarks
2020-08-30T06:15:00Z,start,Isoyake,10,hcra,4,1,0,ok
2020-08-30T18:00:00Z,mid,Isoyake,1,hcra,5,1,0,ok
2020-08-30T18:00:00Z,mid,Isoyake,2,hcra,4.5,1,0,ok
2020-08-30T18:00:00Z,mid,Isoyake,3,hcra,4.5,1,0.2,ok
2020-08-30T18:00:00Z,mid,Isoyake,4,hcra,4.5,1,0,ok
2020-08-30T18:00:00Z,mid,Isoyake,5,hcra,4,1,0.3,ok
2020-08-30T18:00:00Z,mid,Isoyake,6,hcra,3.5,1,0,ok
2020-08-30T18:00:00Z,mid,Isoyake,7,hcra,4.5,1,0,ok
2020-08-30T18:00:00Z,mid,Isoyake,8,hcra,5,1,0,ok
2020-08-30T18:00:00Z,mid,Isoyake,9,hcra,5,1,0,ok
2020-08-30T18:00:00Z,mid,Isoyake,10,hcra,4,1,0,ok
2020-08-31T06:24:00Z,end,Isoyake,1,hcra,5,1,0.5,ok
2020-08-31T06:24:00Z,end,Isoyake,2,hcra,4.5,1,0.3,ok
2020-08-31T06:24:00Z,end,Isoyake,3,hcra,4.5,1,0.6,ok
2020-08-31T06:24:00Z,end,Isoyake,4,hcra,4.5,1,0,ok
2020-08-31T06:24:00Z,end,Isoyake,5,hcra,4,1,0.7,ok
2020-08-31T06:24:00Z,end,Isoyake,6,hcra,3.5,1,0.3,ok
2020-08-31T06:24:00Z,end,Isoyake,7,hcra,4.5,1,0.5,ok
2020-08-31T06:24:00Z,end,Isoyake,8,hcra,5,1,0.3,ok
2020-08-31T06:24:00Z,end,Isoyake,9,hcra,5,1,0.7,ok
2020-08-31T06:24:00Z,end,Isoyake,10,hcra,4,1,0.6,ok
2020-08-31T07:09:00Z,start,Isoyake,11,hcra,4,1,0,ok
2020-08-31T07:09:00Z,start,Isoyake,12,hcra,4.5,1,0,ok
2020-08-31T07:09:00Z,start,Isoyake,13,hcra,5,1,0,ok
2020-08-31T07:09:00Z,start,Isoyake,14,hcra,5,1,0,ok
2020-08-31T07:09:00Z,start,Isoyake,15,hcra,4,1,0,ok
2020-08-31T07:09:00Z,start,Isoyake,16,hcra,5,1,0,ok
2020-08-31T07:09:00Z,start,Isoyake,17,hcra,4.5,1,0,ok
2020-08-31T07:09:00Z,start,Isoyake,18,hcra,5,1,0,ok
2020-08-31T07:09:00Z,start,Isoyake,19,hcra,4.5,1,0,ok
2020-08-31T07:09:00Z,start,Isoyake,20,hcra,4,1,0,ok
2020-08-31T17:15:00Z,mid,Isoyake,11,hcra,4,1,0,ok
2020-08-31T17:15:00Z,mid,Isoyake,12,hcra,4.5,1,0,ok
