datetime,location,trans,mean_temp,sd_temp,mean_ppfd,sd_ppfd
2020-09-01T00:00:00Z,Isoyake,Deep,24.96589742,1.691039691,3.261316023,2.738553035
2020-09-01T00:00:00Z,Isoyake,Shallow,25.11496919,1.74124336,8.014565201,5.216912969
2020-09-01T00:00:00Z,Vegetated,Deep,25.03933997,1.380182148,5.400305727,3.943778072
2020-09-01T00:00:00Z,Vegetated,Shallow,25.03120634,1.454311305,6.814579236,4.52874364
2020-10-01T00:00:00Z,Isoyake,Deep,21.59541492,1.042829082,3.434110027,2.067378697
2020-10-01T00:00:00Z,Isoyake,Shallow,21.68042624,1.094665797,6.92783176,4.611576385
2020-10-01T00:00:00Z,Vegetated,Deep,22.15422976,0.939333746,7.016856447,3.654090098
2020-10-01T00:00:00Z,Vegetated,Shallow,22.10343451,0.892887039,4.835657259,4.167918606
2020-11-01T00:00:00Z,Isoyake,Deep,19.84745145,1.04394985,2.464272497,1.847498614
2020-11-01T00:00:00Z,Isoyake,Shallow,20.00544792,1.040686062,6.855081934,4.04167386
2020-11-01T00:00:00Z,Vegetated,Deep,20.36158391,0.857197747,5.105197231,2.565308988
2020-11-01T00:00:00Z,Vegetated,Shallow,20.48480589,0.815846382,4.559837378,2.52771017
2020-12-01T00:00:00Z,Isoyake,Deep,17.21251942,0.780562176,4.239383246,2.008850979
2020-12-01T00:00:00Z,Isoyake,Shallow,17.42997084,0.789579287,7.130172051,2.375251416
2020-12-01T00:00:00Z,Vegetated,Deep,17.86115824,0.681782551,4.433009847,2.02640508
2020-12-01T00:00:00Z,Vegetated,Shallow,18.04054671,0.685393021,5.615584486,2.504041762
2021-01-01T00:00:00Z,Isoyake,Deep,13.35800286,0.922135801,4.102787494,2.273742403
2021-01-01T00:00:00Z,Isoyake,Shallow,13.53459419,0.872329182,4.544547899,2.820598539
2021-01-01T00:00:00Z,Vegetated,Deep,14.17798769,0.59841891,4.924563784,2.680449004
2021-01-01T00:00:00Z,Vegetated,Shallow,14.25827467,0.564937396,4.743611353,2.387551391
2021-02-01T00:00:00Z,Isoyake,Deep,13.68309729,0.973060669,8.695221798,4.303604598
2021-02-01T00:00:00Z,Isoyake,Shallow,13.82238469,0.98208481,13.67209802,7.431210998
2021-02-01T00:00:00Z,Vegetated,Deep,14.22926121,0.655576314,8.861743355,4.415332012
2021-02-01T00:00:00Z,Vegetated,Shallow,14.78065844,NA,0.263498435,NA
2021-03-01T00:00:00Z,Isoyake,Deep,14.39183634,0.853312225,0.665745222,0.329404561
2021-03-01T00:00:00Z,Isoyake,Shallow,14.39718163,0.926231012,1.045976875,0.505014566
2021-03-01T00:00:00Z,Vegetated,Deep,14.7148843,0.682266149,0.510668444,0.235470129
2021-03-01T00:00:00Z,Vegetated,Shallow,14.72285809,0.687636972,0.887337085,0.483653345
2021-04-01T00:00:00Z,Isoyake,Deep,18.19215278,0.377757889,9.539931469,5.026115714
2021-04-01T00:00:00Z,Isoyake,Shallow,18.6198125,0.416636753,17.04088188,9.113281265
2021-04-01T00:00:00Z,Vegetated,Deep,18.0821875,0.390786507,11.52113006,5.93717877
2021-04-01T00:00:00Z,Vegetated,Shallow,18.25340278,0.452423713,6.448213737,7.12529123
2021-05-01T00:00:00Z,Isoyake,Deep,19.34176367,1.00347869,11.570349,6.337647325
2021-05-01T00:00:00Z,Isoyake,Shallow,19.66660657,1.09110738,16.40960017,8.783974927
2021-05-01T00:00:00Z,Vegetated,Deep,19.19067622,0.993176656,12.93033736,6.663706251
2021-05-01T00:00:00Z,Vegetated,Shallow,19.28354189,1.13050152,8.504908185,11.04783345
2021-06-01T00:00:00Z,Isoyake,Deep,21.84482526,1.037607496,11.64418039,5.849841682
2021-06-01T00:00:00Z,Isoyake,Shallow,22.00978135,1.034784134,14.03462086,8.126974128
2021-06-01T00:00:00Z,Vegetated,Deep,21.16310031,0.672449062,12.26953294,6.5955205
2021-06-01T00:00:00Z,Vegetated,Shallow,21.5973662,0.935308347,16.65451936,9.1205729
2021-07-01T00:00:00Z,Isoyake,Deep,24.62715761,1.121728678,5.071364873,3.059532606
2021-07-01T00:00:00Z,Isoyake,Shallow,26.42023771,0.627601663,18.17836939,6.373233475
2021-08-01T00:00:00Z,Isoyake,Deep,26.69229871,0.98863456,2.011306649,2.526965423
2021-08-01T00:00:00Z,Isoyake,Shallow,27.04106177,1.186439457,11.0698426,8.282939466
2021-08-01T00:00:00Z,Vegetated,Deep,27.12642361,0.306091567,12.02365682,7.172976533
2021-09-01T00:00:00Z,Isoyake,Deep,26.04567292,1.269797491,3.985939109,2.179799161
2021-09-01T00:00:00Z,Isoyake,Shallow,26.33949941,1.242676367,10.63189129,5.048071034
2021-09-01T00:00:00Z,Vegetated,Deep,25.93638265,1.259024302,9.377677622,4.344359574
2021-10-01T00:00:00Z,Isoyake,Deep,23.94073403,1.341628715,2.654029312,2.685174064
2021-10-01T00:00:00Z,Isoyake,Shallow,24.13631646,1.39233372,8.673074437,4.900483467
2021-10-01T00:00:00Z,Vegetated,Deep,24.58517967,0.85600013,7.471987478,3.992584738
2021-11-01T00:00:00Z,Isoyake,Deep,19.74444456,1.244201594,1.12422535,0.741156496
2021-11-01T00:00:00Z,Isoyake,Shallow,19.88708085,1.238749575,5.938458705,4.463349587
2021-12-01T00:00:00Z,Isoyake,Deep,16.78847049,0.653947614,0.272982722,0.149876951
2021-12-01T00:00:00Z,Isoyake,Shallow,16.90840115,0.708793232,0.284831645,0.104832164
